order_id,customer_id,product_id,order_date,quantity,order_amount,order_status
O000204,C04743,P0033,2024-07-10,5,76178,Completed
O000205,C02078,P0091,2024-03-11,1,71142,Completed
O000206,C00719,P0130,2024-09-11,5,8352,Cancelled
O000207,C00661,P0039,2024-01-25,2,22783,Cancelled
O000208,C02034,P0160,2024-04-19,5,69261,Returned
O000209,C04605,P0191,2024-04-30,1,68792,Completed
O000210,C02000,P0029,2024-10-23,2,76085,Completed
O000211,C04132,P0023,2024-10-25,5,34678,Completed
O000212,C03763,P0042,2024-01-19,5,71203,Completed
O000213,C03474,P0190,2024-06-18,4,79731,Cancelled
O000214,C00434,P0009,2024-09-16,4,56044,Returned
O000215,C01981,P0033,2024-04-19,2,10749,Returned
O000216,C03417,P0154,2024-06-06,4,64341,Cancelled
O000217,C04342,P0061,2024-09-26,1,13722,Cancelled
O000218,C04235,P0034,2024-02-25,2,70422,Returned
O000219,C03157,P0169,2024-09-21,2,77253,Completed
O000220,C02478,P0185,2024-05-08,2,63404,Completed
O000221,C02740,P0090,2024-06-09,2,57997,Completed
O000222,C00499,P0191,2024-04-21,2,28545,Completed
O000223,C00497,P0101,2024-05-22,5,11772,Completed
O000224,C01320,P0147,2024-01-22,5,10783,Completed
O000225,C04868,P0200,2024-06-09,4,15416,Cancelled
O000226,C00775,P0194,InvalidDate,3,11546,Returned
O000227,C04683,P0042,2024-06-27,4,5700,Completed
O000228,C03595,P0004,2024-08-05,1,25950,Returned
O000229,C04447,P0088,2024-08-04,5,41876,Completed
O000230,C02576,P0112,2024-08-12,1,58004,Completed
O000231,C01399,P0103,2024-02-03,3,19757,Completed
O000232,C04089,P0042,2024-10-16,4,2384,Completed
O000233,C04552,P0149,2024-02-13,4,49568,Cancelled
O000234,C00067,P0065,2024-06-18,3,78431,Returned
O000235,C01900,P0099,2024-07-29,3,1472,Returned
O000236,C00725,P0130,2024-03-04,2,73370,Completed
O000237,C02112,P0051,2024-01-23,1,48339,Completed
O000238,C01019,P0170,2024-09-29,5,40069,Completed
O000239,C01501,P0170,2024-01-23,2,78348,Completed
O000240,C00275,P0077,2024-08-04,2,77629,Cancelled
O000241,C00900,P0079,2024-08-06,4,74152,Completed
O000242,C00052,P0191,2024-09-07,2,58679,Returned
O000243,C01722,P0084,2024-06-11,5,35082,Returned
O000244,C04834,P0098,2024-06-23,2,20642,Completed
O000245,C03814,P0162,2024-05-02,1,51193,Returned
O000246,C00163,P0042,2024-07-28,3,55790,Completed
O000247,C01655,P0068,2024-10-18,5,21046,Returned
O000248,C01689,P0179,2024-02-22,3,39727,Returned
O000249,C03028,P0084,2024-05-11,4,26033,Returned
O000250,C04402,P0092,2024-03-11,4,54225,Cancelled
O000251,C01766,P0036,2024-01-16,2,2090,Completed
O000252,C00105,P0099,2024-07-02,3,75552,Completed
O000253,C01908,P0076,2024-06-25,5,36610,Completed
O000254,C00803,P0105,2024-02-21,3,74198,Completed
O000255,C03847,P0078,2024-04-19,4,13417,Completed
O000256,C00836,P0184,2024-10-10,5,68608,Returned
O000257,C01133,P0031,2024-08-08,4,1663,Cancelled
O000258,C02584,P0058,2024-03-09,2,63608,Completed
O000259,C01791,P0144,2024-01-04,2,68881,Completed
O000260,C01186,P0082,2024-10-22,4,76280,Returned
O000261,C04579,P0063,2024-02-10,2,45472,Cancelled
O000262,C01583,P0120,2024-01-20,4,65455,Cancelled
O000263,C00071,P0162,2024-06-13,3,40546,Cancelled
O000264,C04506,P0199,2024-03-14,3,57150,Completed
O000265,C01551,P0104,2024-05-19,2,38954,Returned
O000266,C00299,P0164,2024-03-26,4,64993,Returned
O000267,C02513,P0032,2024-02-24,3,-500,Cancelled
O000268,C00696,P0159,2024-01-25,5,63498,Cancelled
O000269,C00726,P0165,2024-08-16,1,12484,Returned
O000270,C04071,P0012,2024-05-04,1,73032,Returned
O000271,C02720,P0126,2024-04-16,5,43078,Completed
O000272,C00472,P0145,2024-10-03,3,1271,Cancelled
O000273,C01190,P0048,2024-04-13,1,62046,Completed
O000274,C00555,P9999,2024-04-03,4,3731,Returned
O000275,C04546,P0030,2024-07-08,5,18230,Completed
O000276,C04851,P0121,2024-02-29,3,27849,Completed
O000277,C00312,P0132,2024-08-27,3,19455,Returned
O000278,C00030,P0137,2024-10-07,3,69294,Completed
O000279,C02072,P0092,2024-01-18,1,26548,Completed
O000280,C04274,P0147,2024-05-18,1,64075,Completed
O000281,C01842,P0033,2024-07-30,5,79904,Completed
O000282,C01721,P0083,2024-09-13,3,8358,Returned
O000283,C01709,P0184,2024-02-16,4,2074,Completed
O000284,C04571,P0013,2024-03-03,5,34851,Cancelled
O000285,C01150,P0157,2024-05-11,3,66750,Completed
O000286,C03182,P0092,2024-03-25,2,75759,Completed
O000287,C04917,P0182,2024-01-24,5,25495,Returned
O000288,C01475,P0135,2024-06-23,5,40314,Returned
O000289,C03774,P0049,2024-02-19,4,12062,Cancelled
O000290,C00494,P0103,2024-04-28,1,55123,Returned
O000291,C04783,P0092,2024-04-24,5,22270,Completed
O000292,C03650,P0013,2024-06-04,3,15850,Completed
O000293,C00912,P0105,2024-03-18,1,20554,Cancelled
O000294,C00436,P0116,2024-08-12,5,68268,Cancelled
O000295,C04984,P0020,2024-04-22,4,1056,Completed
O000296,C00427,P0182,2024-05-05,1,7502,Cancelled
O000297,C03779,P0079,2024-10-09,3,40756,Returned
O000298,C04470,P0036,2024-01-13,3,1668,Completed
O000299,C00536,P0136,2024-08-28,3,52247,Completed
O000300,C02693,P0049,2024-04-19,4,63171,Cancelled
O000301,C03071,P0054,2024-07-27,3,10428,Cancelled
O000302,C00180,P0057,2024-10-09,4,70667,Cancelled
O000303,C99999,P0110,2024-01-15,1,46622,Returned
O000304,C02611,P0071,2024-08-17,3,7172,Completed
O000305,C02195,P0088,2024-02-19,5,37247,Cancelled
O000306,C01990,P0047,2024-09-04,5,64359,Cancelled
O000307,C04066,P0134,2024-09-01,5,25408,Completed
O000308,C00618,P0096,2024-07-31,5,36254,Completed
O000309,C03622,P0018,2024-05-21,4,56086,Returned
O000310,C02213,P0196,2024-08-08,4,17959,Returned
O000311,C04234,P0093,2024-04-05,2,4493,Cancelled
O000312,C03925,P0008,2024-06-22,4,36493,Completed
O000313,C02821,P0124,2024-02-03,1,24167,Returned
O000314,C02674,P0157,2024-01-03,4,69247,Completed
O000315,C02369,P0149,2024-07-15,2,37400,Cancelled
O000316,C00608,P0095,2024-07-07,3,5582,Completed
O000317,C02336,P0012,2024-04-18,2,22461,Completed
O000318,C00222,P0073,2024-10-22,1,34284,Completed
O000319,C02719,P0009,2024-05-10,5,21113,Completed
O000320,C04549,P0079,2024-08-05,1,46883,Cancelled
O000321,C03758,P0150,2024-05-17,1,15007,Returned
O000322,C00253,P0034,2024-07-31,2,71798,Returned
O000323,C03537,P0025,2024-08-08,1,25337,Returned
O000324,C03714,P0168,2024-02-23,5,68467,Cancelled
O000325,C04659,P0144,2024-03-19,5,39629,Completed
O000326,C04687,P0014,2024-02-02,3,57948,Cancelled
O000327,C00467,P0059,2024-05-19,4,69405,Completed
O000328,C03639,P0094,2024-06-14,2,15336,Completed
O000329,C03306,P0185,2024-05-07,2,25581,Cancelled
O000330,C01601,P0010,2024-09-03,5,11419,Returned
O000331,C04866,P0038,2024-10-23,4,75678,Completed
O000332,C02559,P0198,2024-03-28,1,70841,Completed
O000333,C02996,P0079,2024-09-02,4,19342,Completed
O000334,C03421,P0187,2024-08-08,3,16441,Completed
O000335,C03054,P0095,2024-09-02,5,71894,Cancelled
O000336,C00480,P0029,2024-06-12,4,29849,Cancelled
O000337,C03047,P0068,2024-01-17,1,16559,Cancelled
O000338,C03930,P0126,2024-10-19,4,2289,Completed
O000339,C03997,P0059,InvalidDate,3,18181,Completed
O000340,C01686,P0136,2024-05-15,5,77895,Completed
O000341,C00434,P0169,2024-09-05,2,68146,Completed
O000342,C04643,P0177,2024-07-08,3,65229,Completed
O000343,C00926,P0117,2024-01-25,1,37311,Returned
O000344,C03311,P0080,2024-03-21,3,42712,Cancelled
O000345,C01129,P0020,2024-04-16,5,59392,Cancelled
O000346,C04629,P0053,2024-10-16,2,16040,Returned
O000347,C01537,P0033,2024-01-24,2,37553,Completed
O000348,C01304,P0038,2024-05-11,5,59177,Completed
O000349,C02193,P0136,2024-07-31,5,26867,Returned
O000350,C03211,P0027,2024-02-07,5,7136,Completed
O000351,C00647,P0098,2024-05-11,2,52489,Returned
O000352,C00316,P0007,2024-08-03,5,70683,Completed
O000353,C01101,P0140,2024-05-06,4,54041,Cancelled
O000354,C00445,P0098,2024-03-26,4,62480,Cancelled
O000355,C01795,P0062,2024-05-24,2,71168,Completed
O000356,C01020,P0032,2024-06-22,1,-500,Cancelled
O000357,C02681,P0015,2024-09-23,1,22680,Completed
O000358,C01755,P0050,2024-10-07,1,14432,Completed
O000359,C03376,P0140,2024-05-22,5,47375,Completed
O000360,C02150,P0140,2024-07-14,2,32252,Returned
O000361,C02477,P0080,2024-10-16,1,43312,Returned
O000362,C04854,P0114,2024-01-08,4,79318,Cancelled
O000363,C00194,P0122,2024-06-25,4,13331,Completed
O000364,C00143,P0199,2024-01-24,3,51721,Completed
O000365,C00339,P0043,2024-08-27,1,66795,Cancelled
O000366,C04197,P0083,2024-10-24,1,72706,Cancelled
O000367,C03811,P0119,2024-03-24,5,62609,Completed
O000368,C04940,P0041,2024-01-23,4,71878,Completed
O000369,C04615,P0067,2024-09-27,5,37393,Completed
O000370,C00439,P0008,2024-04-25,5,42284,Returned
O000371,C02606,P0090,2024-08-20,2,56476,Completed
O000372,C03056,P0069,2024-07-06,4,45544,Completed
O000373,C00794,P0136,2024-02-28,5,1911,Completed
O000374,C02276,P0087,2024-05-07,4,11066,Returned
O000375,C01323,P0025,2024-09-14,1,12513,Completed
O000376,C01777,P0107,2024-02-16,5,33817,Completed
O000377,C02201,P0109,2024-06-30,4,17077,Completed
O000378,C00617,P0140,2024-08-08,3,38047,Completed
O000379,C01541,P0131,2024-02-02,1,32672,Completed
O000380,C00695,P0196,2024-08-07,2,7388,Returned
O000381,C03784,P0058,2024-03-28,1,77090,Completed
O000382,C03800,P0151,2024-05-12,1,52779,Returned
O000383,C02337,P0009,2024-02-02,4,27903,Cancelled
O000384,C04276,P0084,2024-05-20,5,26938,Cancelled
O000385,C00571,P0096,2024-01-04,4,63507,Completed
O000386,C01454,P0036,2024-02-25,1,33174,Completed
O000387,C04032,P0152,2024-08-20,3,25034,Returned
O000388,C03991,P0083,2024-01-13,3,62004,Completed
O000389,C01171,P0058,2024-04-23,5,1205,Completed
O000390,C04446,P0043,2024-01-14,5,553,Returned
O000391,C01522,P0061,2024-08-12,4,9138,Completed
O000392,C02012,P0142,2024-09-24,4,10713,Completed
O000393,C00859,P0028,2024-06-02,5,29966,Cancelled
O000394,C02500,P0143,2024-04-19,5,60815,Returned
O000395,C00797,P0026,2024-04-23,1,35804,Returned
O000396,C03632,P0133,2024-03-24,5,10360,Completed
O000397,C04625,P0139,2024-10-07,2,55909,Cancelled
O000398,C00050,P0080,2024-10-19,2,62391,Returned
O000399,C00931,P0151,2024-08-09,4,29748,Completed
O000400,C04162,P0120,2024-09-29,3,55851,Cancelled
O000401,C03928,P0098,2024-03-19,4,14375,Completed
O000402,C00972,P0043,2024-08-25,4,60828,Completed
O000403,C01680,P0087,2024-06-10,1,60031,Returned
O000404,C99999,P0079,2024-06-27,5,68482,Cancelled
O000405,C01107,P0168,2024-07-12,1,30556,Completed
O000406,C00165,P0118,2024-03-01,4,15444,Completed
O000407,C03198,P0196,2024-08-26,2,6459,Returned
O000408,C04058,P0051,2024-06-06,2,51872,Completed
O000409,C00205,P0136,2024-02-20,3,76181,Completed
O000410,C03116,P0192,2024-04-23,4,28260,Completed
O000411,C04735,P9999,2024-02-26,2,25115,Returned
O000412,C00967,P0007,2024-04-04,4,43364,Completed
O000413,C04071,P0145,2024-07-08,1,68855,Returned
O000414,C01878,P0119,2024-04-11,5,42620,Completed
O000415,C03347,P0071,2024-05-11,5,4456,Completed
O000416,C04737,P0187,2024-03-13,1,9474,Returned
O000417,C01747,P0112,2024-05-02,4,65769,Cancelled
O000418,C01192,P0011,2024-10-03,3,63322,Cancelled
O000419,C00393,P0164,2024-02-04,2,59479,Completed
O000420,C02841,P0109,2024-10-04,4,29663,Completed
O000421,C04624,P0149,2024-10-09,5,37263,Completed
O000422,C03806,P0095,2024-07-29,3,65378,Completed
O000423,C00393,P0107,2024-07-09,4,21187,Cancelled
O000424,C04620,P0144,2024-01-23,3,29661,Completed
O000425,C02479,P0156,2024-02-20,4,74065,Completed
O000426,C03413,P0058,2024-03-25,5,78034,Cancelled
O000427,C02747,P0085,2024-05-03,4,50622,Cancelled
O000428,C01392,P0174,2024-05-22,2,18235,Returned
O000429,C00554,P0152,2024-03-31,4,31786,Returned
O000430,C01710,P0011,2024-07-05,4,58511,Completed
O000431,C01213,P0059,2024-03-24,4,11330,Completed
O000432,C02157,P0022,2024-10-20,2,62609,Completed
O000433,C01200,P0121,2024-03-11,1,28154,Returned
O000434,C00764,P0078,2024-01-20,5,50350,Completed
O000435,C00596,P0005,2024-10-23,1,18857,Cancelled
O000436,C03631,P0091,2024-06-07,2,79494,Returned
O000437,C01421,P0088,2024-09-25,2,70145,Returned
O000438,C04707,P0086,2024-07-11,3,14646,Cancelled
O000439,C02467,P0074,2024-09-29,5,5361,Completed
O000440,C03235,P0181,2024-06-14,4,46514,Completed
O000441,C03604,P0074,2024-01-02,2,17119,Completed
O000442,C03478,P0193,2024-09-23,3,72806,Returned
O000443,C03290,P0138,2024-03-16,4,72537,Returned
O000444,C01714,P0144,2024-04-30,1,18141,Cancelled
O000445,C00260,P0150,2024-05-16,2,-500,Completed
O000446,C03551,P0015,2024-05-03,5,15373,Completed
O000447,C04705,P0199,2024-07-13,5,72127,Completed
O000448,C00792,P0042,2024-04-12,3,53016,Completed
O000449,C04979,P0059,2024-09-06,5,8059,Cancelled
O000450,C04862,P0189,2024-06-07,3,21404,Cancelled
O000451,C04728,P0144,2024-02-22,2,52883,Completed
O000452,C03574,P0110,InvalidDate,2,75079,Cancelled
O000453,C00181,P0115,2024-10-02,2,4008,Completed
O000454,C03043,P0109,2024-07-24,2,52362,Returned
O000455,C03368,P0057,2024-07-17,1,1377,Completed
O000456,C04671,P0138,2024-04-27,4,18236,Cancelled
O000457,C00370,P0192,2024-05-16,3,60867,Cancelled
O000458,C03666,P0142,2024-07-31,4,71837,Cancelled
O000459,C01995,P0105,2024-03-29,1,55241,Completed
O000460,C04403,P0037,2024-05-14,3,66396,Completed
O000461,C03283,P0054,2024-07-19,2,42162,Cancelled
O000462,C04101,P0179,2024-01-20,3,18380,Returned
O000463,C01677,P0185,2024-04-22,5,47327,Completed
O000464,C03648,P0128,2024-03-19,5,43781,Cancelled
O000465,C00431,P0154,2024-03-18,3,50950,Cancelled
O000466,C03957,P0089,2024-04-14,5,29336,Completed
O000467,C02797,P0112,2024-04-06,1,22361,Completed
O000468,C04266,P0013,2024-05-31,2,48703,Returned
O000469,C00562,P0185,2024-09-05,4,57230,Completed
O000470,C02496,P0036,2024-01-15,4,76327,Completed
O000471,C04658,P0110,2024-07-01,1,34329,Cancelled
O000472,C02358,P0196,2024-04-07,1,20414,Completed
O000473,C02735,P0025,2024-10-17,1,33611,Returned
O000474,C03850,P0078,2024-01-04,2,32487,Returned
O000475,C02570,P0190,2024-06-13,1,67071,Cancelled
O000476,C02590,P0010,2024-06-06,1,69578,Returned
O000477,C04794,P0123,2024-04-12,1,61128,Completed
O000478,C01292,P0192,2024-01-11,4,71114,Completed
O000479,C00214,P0147,2024-08-14,3,49280,Completed
O000480,C03994,P0067,2024-04-30,4,11015,Returned
O000481,C00091,P0123,2024-02-22,5,18719,Cancelled
O000482,C03247,P0106,2024-05-12,4,73376,Completed
O000483,C03582,P0137,2024-10-14,3,21756,Returned
O000484,C04661,P0141,2024-07-15,1,23338,Completed
O000485,C01789,P0041,2024-04-10,5,61469,Completed
O000486,C04486,P0080,2024-05-13,4,54814,Completed
O000487,C03392,P0033,2024-06-19,5,38725,Completed
O000488,C01055,P0086,2024-02-04,4,7031,Cancelled
O000489,C00868,P0153,2024-02-05,4,11681,Completed
